customer_id,birthdate,gender,city,country,age,age_cateogry,segment
CUST00000,12/13/2000,Male,Barcelona,Spain,24,18-25,Value Seekers
CUST00001,8/19/1994,Male,Madrid,Spain,30,26-35,Newbies
CUST00003,8/30/1998,Male,London,United Kingdom,26,26-35,High Spenders
CUST00004,9/1/1973,Female,London,United Kingdom,51,46-55,Loyal
CUST00005,11/18/1976,Male,Barcelona,Spain,48,46-55,One-Time High Spenders
CUST00008,3/23/2006,Male,Marseille,France,19,18-25,High Spenders
CUST00009,9/11/2004,Female,London,United Kingdom,20,18-25,High Spenders
CUST00010,11/11/2005,Female,Berlin,Germany,19,18-25,High Spenders
CUST00011,11/30/2004,Female,Munich,Germany,20,18-25,High Spenders
CUST00012,4/5/1998,Female,Cologne,Germany,27,26-35,High Spenders
CUST00013,7/24/1993,Female,Gdansk,Poland,31,26-35,Newbies
CUST00014,11/16/1976,Male,Birmingham,United Kingdom,48,46-55,Medium Spenders
CUST00015,10/13/2004,Female,Barcelona,Spain,20,18-25,Value Seekers
CUST00016,4/22/1987,Female,Gdansk,Poland,38,36-45,Promising
CUST00017,5/4/2002,Male,Berlin,Germany,23,18-25,Newbies
CUST00018,6/26/1989,Male,Birmingham,United Kingdom,35,26-35,Value Seekers
CUST00019,8/22/1988,Male,Paris,France,36,36-45,Occasional Shoppers
CUST00020,9/21/1992,Female,Birmingham,United Kingdom,32,26-35,Newbies
CUST00021,11/13/1996,Female,Paris,France,28,26-35,Medium Spenders
CUST00022,6/4/2000,Male,Brussels,Belgium,24,18-25,Value Seekers
CUST00023,12/15/1987,Female,Amsterdam,Netherlands,37,36-45,Value Seekers
CUST00024,5/10/2004,Female,Berlin,Germany,21,18-25,High Spenders
CUST00025,8/30/1987,Male,London,United Kingdom,37,36-45,Medium Spenders
CUST00026,2/6/2001,Male,Brussels,Belgium,24,18-25,Medium Spenders
CUST00027,4/17/1995,Female,Milan,Italy,30,26-35,Value Seekers
CUST00028,7/9/1940,Male,London,United Kingdom,84,65+,Value Seekers
CUST00029,2/10/1996,Female,London,United Kingdom,29,26-35,Value Seekers
CUST00030,2/23/1996,Female,Barcelona,Spain,29,26-35,Loyal
CUST00031,7/28/1983,Male,Rome,Italy,41,36-45,Value Seekers
CUST00032,11/7/1970,Female,Hamburg,Germany,54,46-55,Value Seekers
CUST00033,10/11/1993,Female,London,United Kingdom,31,26-35,Value Seekers
CUST00034,5/29/2004,Male,Madrid,Spain,20,18-25,High Spenders
CUST00035,10/7/1965,Male,Lyon,France,59,56-65,High Spenders
CUST00036,10/20/1972,Female,Manchester,United Kingdom,52,46-55,High Spenders
CUST00037,6/14/1995,Male,Stockholm,Sweden,29,26-35,High Spenders
CUST00038,6/7/1994,Female,Stockholm,Sweden,30,26-35,Value Seekers
CUST00041,7/7/2005,Male,London,United Kingdom,19,18-25,Newbies
CUST00042,12/14/1973,Male,Birmingham,United Kingdom,51,46-55,High Spenders
CUST00044,1/20/1996,Male,Paris,France,29,26-35,Promising
CUST00045,12/6/1973,Female,Paris,France,51,46-55,Value Seekers
CUST00046,8/30/1952,Female,Prague,Czech Republic,72,65+,Value Seekers
CUST00047,1/4/1976,Female,Paris,France,49,46-55,Loyal
CUST00048,12/25/1974,Male,Cork,Ireland,50,46-55,Medium Spenders
CUST00049,6/18/1972,Female,Munich,Germany,52,46-55,Medium Spenders
CUST00050,8/23/1977,Female,Warsaw,Poland,47,46-55,Loyal
CUST00051,6/3/1966,Female,London,United Kingdom,58,56-65,Promising
CUST00052,10/19/1989,Male,Gothenburg,Sweden,35,26-35,Loyal
CUST00053,10/1/2006,Female,Manchester,United Kingdom,18,18-25,High Spenders
CUST00054,8/10/1997,Female,Aarhus,Denmark,27,26-35,Value Seekers
