customer_id,birthdate,gender,city,country
CUST00000,12/13/2000,Male,Barcelona,Spain
CUST00001,8/19/1994,Male,Madrid,Spain
CUST00003,8/30/1998,Male,London,United Kingdom
CUST00004,9/1/1973,Female,London,United Kingdom
CUST00005,11/18/1976,Male,Barcelona,Spain
CUST00008,3/23/2006,Male,Marseille,France
CUST00009,9/11/2004,Female,London,United Kingdom
CUST00010,11/11/2005,Female,Berlin,Germany
CUST00011,11/30/2004,Female,Munich,Germany
CUST00012,4/5/1998,Female,Cologne,Germany
CUST00013,7/24/1993,Female,Gdansk,Poland
CUST00014,11/16/1976,Male,Birmingham,United Kingdom
CUST00015,10/13/2004,Female,Barcelona,Spain
CUST00016,4/22/1987,Female,Gdansk,Poland
CUST00017,5/4/2002,Male,Berlin,Germany
CUST00018,6/26/1989,Male,Birmingham,United Kingdom
CUST00019,8/22/1988,Male,Paris,France
CUST00020,9/21/1992,Female,Birmingham,United Kingdom
CUST00021,11/13/1996,Female,Paris,France
CUST00022,6/4/2000,Male,Brussels,Belgium
CUST00023,12/15/1987,Female,Amsterdam,Netherlands
CUST00024,5/10/2004,Female,Berlin,Germany
CUST00025,8/30/1987,Male,London,United Kingdom
CUST00026,2/6/2001,Male,Brussels,Belgium
CUST00027,4/17/1995,Female,Milan,Italy
CUST00028,7/9/1940,Male,London,United Kingdom
CUST00029,2/10/1996,Female,London,United Kingdom
CUST00030,2/23/1996,Female,Barcelona,Spain
CUST00031,7/28/1983,Male,Rome,Italy
CUST00032,11/7/1970,Female,Hamburg,Germany
CUST00033,10/11/1993,Female,London,United Kingdom
CUST00034,5/29/2004,Male,Madrid,Spain
CUST00035,10/7/1965,Male,Lyon,France
CUST00036,10/20/1972,Female,Manchester,United Kingdom
CUST00037,6/14/1995,Male,Stockholm,Sweden
CUST00038,6/7/1994,Female,Stockholm,Sweden
CUST00041,7/7/2005,Male,London,United Kingdom
CUST00042,12/14/1973,Male,Birmingham,United Kingdom
CUST00044,1/20/1996,Male,Paris,France
CUST00045,12/6/1973,Female,Paris,France
CUST00046,8/30/1952,Female,Prague,Czech Republic
CUST00047,1/4/1976,Female,Paris,France
CUST00048,12/25/1974,Male,Cork,Ireland
CUST00049,6/18/1972,Female,Munich,Germany
CUST00050,8/23/1977,Female,Warsaw,Poland
CUST00051,6/3/1966,Female,London,United Kingdom
CUST00052,10/19/1989,Male,Gothenburg,Sweden
CUST00053,10/1/2006,Female,Manchester,United Kingdom
CUST00054,8/10/1997,Female,Aarhus,Denmark
CUST00055,12/11/1989,Other,Manchester,United Kingdom
CUST00056,2/21/1976,Female,Munich,Germany
CUST00057,4/24/1992,Female,Madrid,Spain
CUST00058,10/6/1945,Female,Vienna,Austria
CUST00059,2/28/2002,Male,Paris,France
CUST00060,2/22/1999,Male,Prague,Czech Republic
CUST00061,8/13/1989,Female,Brussels,Belgium
CUST00062,5/13/1976,Female,Paris,France
CUST00063,5/11/1956,Female,Rome,Italy
CUST00064,11/15/1994,Female,Milan,Italy
CUST00065,2/21/1962,Male,Vienna,Austria
CUST00067,7/7/1944,Female,Krakow,Poland
CUST00068,5/23/1992,Female,Rome,Italy
CUST00070,10/17/1948,Male,Manchester,United Kingdom
CUST00071,3/16/2002,Female,Lyon,France
CUST00072,12/14/1996,Male,Glasgow,United Kingdom
CUST00073,3/4/1998,Male,Amsterdam,Netherlands
CUST00075,8/27/1965,Female,London,United Kingdom
CUST00076,3/9/2005,Female,Vienna,Austria
CUST00077,6/9/1982,Male,Paris,France
CUST00078,1/16/1983,Female,Paris,France
CUST00079,3/19/1978,Male,Istanbul,Turkey
CUST00080,3/14/1958,Female,Hamburg,Germany
CUST00081,8/22/1981,Female,Istanbul,Turkey
CUST00082,7/3/1993,Male,Paris,France
CUST00083,11/2/1979,Male,Paris,France
CUST00084,1/19/1961,Male,Birmingham,United Kingdom
